track_name,artists,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",7ef4DlsgrMEH11cDZd32M6,Pop,0.037,0.791,214847,0.862,0,9,0.081,-3.24,0,0.11,123.994,0.592
Done For Me (feat. Kehlani),"Charlie Puth, Kehlani",76S09sHj7GGMJAtOLjmVQ2,Pop,0.193,0.856,180493,0.632,0,6,0.069,-3.692,0,0.074,112.009,0.697
Everyday,"Logic, Marshmello",6zOhgKfbMiQWToE6K13s2s,Pop,0.043,0.675,204827,0.748,0,1,0.079,-3.947,1,0.039,149.923,0.469
Everybody Hates Me,The Chainsmokers,3pIigjAWkzwAonXpJ1fmSF,Pop,0.008,0.471,224027,0.755,0,11,0.368,-6.612,0,0.046,154.801,0.512
Merengue,Kent Jones,3EypXSP7JVjtusvnBtAIBo,Pop,0.47,0.717,191032,0.864,0,1,0.147,-3.231,1,0.216,112.97,0.738
Stir Fry,Migos,2tek8UnoiJdkmpPMqa5KRQ,Pop,0.003,0.814,190288,0.819,0,2,0.133,-5.48,1,0.251,181.958,0.517
Love Lies (with Normani),"Khalid, Normani",45Egmo7icyopuzJN0oMEdk,Pop,0.096,0.708,201707,0.648,0,6,0.134,-5.626,1,0.045,143.955,0.338
Sober Up,"AJR, Rivers Cuomo",7bXvOMQ3UrcTS1dO9Ppzsg,Pop,0.277,0.647,218760,0.616,0,5,0.082,-4.948,1,0.027,93.019,0.79
Sober,"G-Eazy, Charlie Puth",0GOJobsbOSIF99y6CGr5o6,Pop,0.263,0.558,203960,0.766,0,6,0.32,-5.953,0,0.231,96.281,0.182
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",5CLGzJsGqhCEECcpnFQA8x,Pop,0.194,0.653,210773,0.809,0,0,0.165,-4.057,1,0.047,92.213,0.55
Tattoo (How 'Bout You),In Real Life,76bAIHM7qJk1iMDM4WbWoI,Pop,0.196,0.865,229295,0.591,0,0,0.078,-6.039,1,0.237,109.03,0.597
Hearts Ain't Gonna Lie (with Jonas Blue),"Arlissa, Jonas Blue",1bfPwJtmZdqv6MPY5Wr7eH,Pop,0.086,0.438,201264,0.731,0,6,0.13,-4.566,0,0.06,92.958,0.466
Not A Love Song,bülow,0olvO9l53TxK1j0v4wrC5y,Pop,0.14,0.737,192293,0.523,0,7,0.127,-10.25,1,0.07,91.993,0.305
Sky Walker,"Miguel, Travis Scott",1DRW9bQzt2SE8f7H4KJZyL,Pop,0.088,0.629,260077,0.717,0,6,0.358,-5.706,1,0.064,145.959,0.129
Over My Head,Echosmith,3haxUceS8i97BLoB7WH3Mj,Pop,0.097,0.656,208233,0.723,0,11,0.343,-4.975,0,0.026,105.049,0.904
Pray,"Sam Smith, Logic",3n3b5WNEohHP7Ou4ndBo6b,Pop,0.224,0.637,221760,0.448,0,4,0.089,-7.968,0,0.062,87.919,0.224
Freaky Friday (feat. Chris Brown),"Lil Dicky, Chris Brown",10Igtw8bSDyyFs7KIsKngZ,Pop,0.147,0.755,216632,0.599,0,8,0.109,-5.042,1,0.224,133.123,0.755
Catch A Body (feat. Quavo),"LIVVIA, Quavo",1D2NjsP1malEdluqvBdMS0,Pop,0.247,0.716,202309,0.871,0,6,0.204,-4.371,0,0.194,90.973,0.609
All Night,Big Boi,2Bb3mu3lfUrcRoTi3IcvQc,Pop,0.057,0.849,241898,0.823,0,4,0.086,-4.563,1,0.044,135.929,0.846
Make Me Feel,Janelle Monáe,79GsUxLyzxgnN4I1E11dtO,Pop,0.132,0.859,194230,0.413,0,1,0.334,-7.399,1,0.182,115.035,0.697
Nowhere Fast (feat. Kehlani),"Eminem, Kehlani",6Ww0J5EFjiPxkgZpEkRQVN,Pop,0.261,0.708,264173,0.729,0,11,0.069,-4.621,1,0.188,79.024,0.644
Lights Down Low,MAX,5brHijrNA7UAFw74p4f5v3,Pop,0.063,0.623,223847,0.493,0,5,0.104,-7.727,0,0.034,81.019,0.594
Bad At Love,Halsey,2TBQoW7s6iwKcg139ssqie,Pop,0.057,0.664,181279,0.753,0,0,0.088,-3.589,1,0.032,118.253,0.54
Havana,"Camila Cabello, Young Thug",0ofbQMrRDsUaVKq2mGLEAb,Pop,0.186,0.768,216897,0.517,0,7,0.104,-4.323,0,0.031,104.992,0.418
Wolves,"Selena Gomez, Marshmello",0tBbt8CrmxbjRP0pueQkyU,Pop,0.129,0.72,197993,0.807,0,11,0.183,-4.59,0,0.043,124.946,0.305
rockstar (feat. 21 Savage),"Post Malone, 21 Savage",7wGoVu4Dady5GV0Sv4UIsx,Pop,0.13,0.577,218320,0.522,0,5,0.142,-6.594,0,0.098,159.772,0.119
Sorry Not Sorry,Demi Lovato,25C5CowdsfXld2jJanbiex,Pop,0.025,0.701,203760,0.638,0,11,0.256,-6.889,0,0.238,144.084,0.868
How Long,Charlie Puth,32DGGj6KlNuBr6WaqRxpxi,Pop,0.189,0.849,198237,0.581,0,1,0.081,-5.243,0,0.077,110.008,0.779
Thunder,Imagine Dragons,0tKcYR2II1VCQWT79i5NrW,Pop,0.007,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.048,167.88,0.298
Strip That Down,"Liam Payne, Quavo",6EpRaXYhGOB3fj4V2uDkMJ,Pop,0.246,0.869,204502,0.485,0,6,0.077,-5.595,1,0.055,106.028,0.527
Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,Pop,0.097,0.774,211475,0.626,0,3,0.085,-4.432,0,0.043,100.041,0.777
Shape of You,Ed Sheeran,0FE9t6xYkqWXU2ahLh6D8X,Pop,0.581,0.825,233713,0.652,0,1,0.093,-3.183,0,0.08,95.977,0.931
Feel It Still,Portugal. The Man,7FESgYLcOufHqKlwrvJN60,Pop,0.041,0.78,163251,0.798,0,1,0.073,-5.151,0,0.061,78.969,0.771
There's Nothing Holdin' Me Back,Shawn Mendes,79cuOz3SPQTuFrp8WgftAu,Pop,0.381,0.857,199440,0.8,0,2,0.091,-4.035,1,0.058,121.996,0.966
Good Old Days (feat. Kesha),"Macklemore, Kesha",3vGmmVqWM33agHxB19EcAi,Pop,0.446,0.712,240507,0.51,0,8,0.112,-8.162,1,0.063,122.964,0.268
Slow Hands,Niall Horan,167NczpNbRF7oWakJaY3Hh,Pop,0.014,0.728,188174,0.426,0,0,0.055,-6.69,1,0.051,85.908,0.844
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",3eR23VReFzcdmS7TYCrhCe,Pop,0.119,0.64,220781,0.533,0,0,0.086,-6.596,1,0.071,99.968,0.515
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,Pop,0.013,0.853,206693,0.56,0,1,0.094,-4.961,1,0.041,134.066,0.86
Stay (with Alessia Cara),"Zedd, Alessia Cara",0dA2Mk56wEzDgegdC6R17g,Pop,0.232,0.679,210091,0.634,0,5,0.115,-5.024,0,0.065,102.013,0.498
1-800-273-8255,"Logic, Alessia Cara, Khalid",5aFQU3VPCQ3YGfKBA4tLfj,Pop,0.568,0.627,250173,0.572,0,5,0.198,-7.738,0,0.037,100.041,0.361
Something Just Like This,"The Chainsmokers, Coldplay",1dNIEtp7AY3oDAKCGg2XkH,Pop,0.031,0.607,247627,0.649,0,11,0.174,-6.695,0,0.036,102.996,0.505
What Lovers Do (feat. SZA),"Maroon 5, SZA",4mxWSdf71VFO52qFeY0fZt,Pop,0.077,0.795,199849,0.608,0,5,0.085,-5.222,0,0.069,110.001,0.386
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",5CtI0qwDJkDQGwXD1H1cLb,Pop,0.229,0.694,228827,0.815,0,2,0.092,-4.328,1,0.12,88.931,0.813
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt",5AEtlRudpgdT5FtNiuly6Y,Pop,0.039,0.659,174800,0.717,0,8,0.077,-4.202,1,0.058,103.036,0.71
Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,Pop,0.199,0.798,202547,0.539,0,1,0.165,-6.351,1,0.042,136.949,0.394
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,Pop,0.414,0.748,244960,0.524,0,8,0.111,-5.599,1,0.034,95.01,0.661
No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",1louJpMmzEicAn7lzDalPW,Pop,0.058,0.741,223504,0.667,0,10,0.106,-5.445,1,0.134,112.956,0.595
Believer,Imagine Dragons,0CcQNd8CINkwQfe1RDtGV6,Pop,0.052,0.779,204347,0.787,0,10,0.14,-4.305,0,0.108,124.982,0.708
Let Me Love You,"DJ Snake, Justin Bieber",4pdPtRcBmOSQDlJ3Fk945m,Pop,0.078,0.476,205947,0.718,0,8,0.122,-5.309,1,0.058,199.864,0.142
Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,Pop,0.029,0.573,230227,0.739,0,0,0.111,-5.74,1,0.129,97.085,0.451
Now Or Never,Halsey,1mDGDb2fUmUMdqV3tb8VKQ,Pop,0.107,0.67,214802,0.585,0,6,0.131,-4.861,0,0.035,110.03,0.447
Starboy,"The Weeknd, Daft Punk",7lQqaqZu0vjxzpdATOIsDt,Pop,0.159,0.68,230467,0.594,0,7,0.134,-7.021,1,0.28,186.04,0.475
Unforgettable,"French Montana, Swae Lee",1F2HXIJrE2Xn81OzT2zZvW,Pop,0.029,0.726,233833,0.769,0.01,6,0.104,-5.043,1,0.123,97.985,0.733
Don't Let Me Down,"The Chainsmokers, Daya",1i1fxkWeaMmKEB4T7zqbzK,Pop,0.157,0.532,208373,0.869,0.005,11,0.136,-5.094,1,0.172,159.803,0.422
Cheap Thrills,"Sia, Sean Paul",6b3b7lILUJqXcp6w9wNQSm,Pop,0.056,0.592,224813,0.8,0,6,0.078,-4.931,0,0.215,89.972,0.728
This Is What You Came For,"Calvin Harris, Rihanna",0azC730Exh71aQlOt9Zj3y,Pop,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.033,123.963,0.465
Side To Side,"Ariana Grande, Nicki Minaj",4pLwZjInHj3SimIyN9SnOz,Pop,0.041,0.648,226160,0.738,0,6,0.292,-5.883,0,0.247,159.145,0.603
24K Magic,Bruno Mars,2gFvRmQiWg9fN9i74Q0aiw,Pop,0.034,0.818,225983,0.803,0,1,0.153,-4.282,1,0.08,106.97,0.632
I Feel It Coming,"The Weeknd, Daft Punk",0VeYT2aD9t65JgofFZGpKl,Pop,0.413,0.768,269187,0.814,0,0,0.084,-5.91,0,0.151,92.979,0.541
Issues,Julia Michaels,1sXUWdKx03aP9Gmzft58rt,Pop,0.368,0.683,176347,0.427,0,8,0.06,-6.827,1,0.078,113.634,0.426
Say You Won't Let Go,James Arthur,1Pw5C4N6Fn5E4mGCxmbbVa,Pop,0.693,0.4,211240,0.564,0,10,0.086,-7.444,1,0.052,99.269,0.483
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",72Q0FQQo32KJloivv5xge2,Pop,0.053,0.599,288877,0.667,0,7,0.134,-4.267,1,0.037,80.984,0.817
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",5knuzwU65gJK7IF5yJsuaW,Pop,0.406,0.72,251088,0.763,0,9,0.18,-4.068,0,0.052,101.965,0.742
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,Pop,0.008,0.645,214507,0.713,0,6,0.113,-5.355,1,0.039,74.989,0.566
Treat You Better,Shawn Mendes,53B2XmmjJ9rriW1qciMBeX,Pop,0.121,0.45,187973,0.825,0,10,0.109,-4.066,0,0.372,82.823,0.742
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,Pop,0.012,0.667,236002,0.83,0,0,0.191,-5.715,1,0.075,113.03,0.701
Paris,The Chainsmokers,15vzANxN8G9wWfwAJLLMCg,Pop,0.024,0.646,221520,0.644,0,2,0.089,-6.763,1,0.031,99.999,0.251
Wild Thoughts (feat. Rihanna & Bryson Tiller),"DJ Khaled, Rihanna, Bryson Tiller",4IIUaKqGMElZ3rGtuvYlNc,Pop,0.029,0.613,204664,0.681,0,8,0.126,-3.089,1,0.078,97.621,0.619
One Dance,"Drake, WizKid, Kyla",0JoaFxLgrqbWutREzcZBzS,Pop,0.008,0.771,173975,0.629,0.003,1,0.356,-5.79,1,0.051,103.918,0.362
Too Young,Post Malone,1GccVBNboZ77oSBMYaUpo2,Pop,0.271,0.602,237147,0.635,0,4,0.083,-6.526,0,0.052,123.05,0.225
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",7vRriwrloYVaoAe3a9wJHe,Pop,0.687,0.492,251034,0.275,0,6,0.101,-13.4,0,0.3,92.6,0.18
Lay Me Down,"Sam Smith, John Legend",64GRDrL1efgXclrhVCeuA0,Pop,0.919,0.468,219536,0.19,0,4,0.107,-11.138,1,0.037,125.319,0.326
I'm Not The Only One,Sam Smith,7795WJLVKJoAyVoOtCWqXN,Pop,0.529,0.677,239317,0.485,0,5,0.077,-5.795,1,0.036,82.001,0.493
Piece Of Me,Bullet For My Valentine,7uODYAQGgOU21nSxkjafmV,Metal,0.007,0.447,206007,0.942,0,1,0.069,-4.561,1,0.072,138.775,0.198
Prey,Parkway Drive,6aPDAyrtj011Mzjg9NK0tT,Metal,0,0.27,255231,0.964,0.025,6,0.525,-4.545,1,0.087,99.731,0.325
Fen of Shadows,Skeletonwitch,0xGsgz7zJJwy2kNb3LEe1D,Metal,0,0.379,478507,0.898,0.469,4,0.484,-4.955,0,0.067,140.041,0.07
Country Heroes,DevilDriver,5akgD0VyDme6NGXi57DfqP,Metal,0,0.336,221920,0.87,0.329,9,0.053,-4.893,1,0.087,130.127,0.044
Lives,Daron Malakian and Scars On Broadway,6jl3XQPqTMd5d9etAp7kJ2,Metal,0.01,0.527,245428,0.947,0,0,0.163,-1.975,0,0.04,142.057,0.489
Medicated,Sevendust,3Arp7lY86WpQMnrHLXRv6M,Metal,0,0.477,209052,0.925,0,10,0.314,-5.219,0,0.158,140.009,0.264
Rats,Ghost,5zuY71mWmwarLSzzJHygP2,Metal,0,0.522,261573,0.944,0.482,2,0.135,-5.731,0,0.094,124.029,0.236
When Legends Rise,Godsmack,6wt1Y7oZoOPXTsG2calurz,Metal,0,0.437,172826,0.907,0,4,0.099,-4.284,0,0.245,124.033,0.477
Old Fashioned,Madball,50zwsMOQ19FNmUMtqBMzyf,Metal,0,0.494,130907,0.994,0,6,0.19,-4.77,0,0.051,92.546,0.458
Sham Pain,Five Finger Death Punch,03HyPRDdAwvkovBE6XubBC,Metal,0,0.554,209703,0.938,0,11,0.147,-4.901,0,0.053,96.5,0.4
Kerosene,Burn The Priest,5MwRlODXZXo2AuPvMAgiY5,Metal,0,0.436,372804,0.975,0.344,1,0.39,-5.395,0,0.143,199.976,0.262
Machine (ft. Gary Stringer),Skindred,1HquAMQ1212Fzp2zBvHlVI,Metal,0,0.454,212020,0.972,0.001,7,0.238,-2.788,1,0.1,145.971,0.477
Nail Biter,Sink The Ship,3RzyghmdGPDn6NeEXamC2v,Metal,0,0.41,213333,0.994,0,9,0.092,-3.958,0,0.156,135.035,0.081
House of Doom,Candlemass,0MLniYYTnLHcSKytBjR0jj,Metal,0,0.211,381413,0.916,0.014,6,0.108,-6.242,0,0.064,105.965,0.149
Dropout,Pallbearer,1PaejblOMlnQiMUUn85DBF,Metal,0,0.317,314994,0.894,0.028,2,0.081,-5.958,1,0.069,130.301,0.375
Waste,Zeal & Ardor,3nPjOr3fbBHzsHNCWnEBC7,Metal,0,0.147,199347,0.799,0.845,0,0.252,-5.877,1,0.076,162.785,0.093
Shadowlands,Mos Generator,7lxPjFRAPmlVkHD6ded89T,Metal,0.001,0.375,274560,0.969,0.001,5,0.196,-5.727,0,0.072,144.329,0.676
Hail the Ash,Wolf King,5EqVCH2hex0pQHiO0FH9bX,Metal,0,0.343,272500,0.963,0.87,0,0.163,-4.709,1,0.091,180.061,0.108
Werwolf,Marduk,7IoJyfqqHtm6Sq6PPMKilD,Metal,0,0.412,122880,0.995,0,9,0.245,-5.359,1,0.091,155.012,0.183
Daggers of Black Haze,At The Gates,57n95eCpLXKEc6ww9Q2PKR,Metal,0,0.116,283529,0.914,0.775,4,0.128,-6.464,0,0.052,169.623,0.271
Shades Ablaze,Aura Noir,77CdUFrya4BKSHyNQRjsmA,Metal,0,0.158,176165,0.998,0.253,6,0.357,-3.857,0,0.176,138.528,0.033
Party Monster,Siamese,7iV1VkQhsPrI2h9mPQYDfm,Metal,0.007,0.597,173419,0.866,0,4,0.088,-6.574,0,0.059,154.996,0.672
A Meditation Upon Death,"Nonexist, Mikael Stanne, Chris Amott",0rw4O9dcTXWYNygvsBHnab,Metal,0,0.105,347538,0.884,0.863,7,0.452,-8.288,1,0.063,177.732,0.227
Lechery,Nekrokraft,4Tkz6tlWzQckC7Prr4Q0m6,Metal,0,0.164,314440,0.938,0.214,5,0.159,-5.476,1,0.102,112.516,0.044
A Grotesque Reflection,Light This City,750WF02D3eoxYwCesfsweY,Metal,0,0.445,208873,0.98,0.232,10,0.112,-4.36,0,0.114,102.432,0.1
Allegory of the Cave,Blood Tsunami,6rii5E2Smr3EUf3an3vrAg,Metal,0,0.41,177627,0.993,0.328,3,0.078,-3.831,1,0.103,92.625,0.301
Hand of the Divine,The Agony Scene,3A6czTc03gZxTDMVNEVjpa,Metal,0,0.193,211392,0.986,0.821,2,0.088,-3.9,1,0.09,95.094,0.195
Sons Of Salem,Orange Goblin,2jHJZPMCFUVaYnQBOUiNcU,Metal,0,0.374,180013,0.902,0.783,0,0.09,-5.304,0,0.104,107.591,0.618
Chaos Theory and Practice,Alkaloid,4XDC57xHtx1kfJuxnbeipB,Metal,0.001,0.252,511011,0.962,0,2,0.421,-5.522,0,0.238,112.153,0.201
Faux Pharaoh,Lucifer,73fRKpP43h62djNE8wJF2t,Metal,0.05,0.164,325613,0.789,0,9,0.206,-6.604,1,0.074,144.598,0.319
Hatred Index,Witch Casket,1nqxKuZulR8ZfqRtRh4h2X,Metal,0,0.475,257200,0.978,0.668,6,0.132,-5.503,1,0.113,116.067,0.205
Fire Up,"Verni, Mike Orlando",5iJrCtmkmNNiLLZra5X7YL,Metal,0.001,0.527,240707,0.994,0,2,0.071,-2.285,1,0.09,101.983,0.449
Dangerous Idiot,Violation Wound,4kEU9JYj1UsUhXTI3nVgiH,Metal,0,0.173,140813,0.983,0.001,1,0.355,-3.893,1,0.148,185.172,0.214
Gatekeeper,Cancer Bats,7aM5GAbVs78BODFqKh6TJV,Metal,0,0.205,167280,0.977,0.012,5,0.346,-4.18,0,0.204,140.367,0.149
"So Long, And Thanks For All The Fish",A Perfect Circle,4R5kwDx0ryIMiK2PKqbNVY,Metal,0.001,0.5,266093,0.873,0.061,2,0.072,-3.869,1,0.037,130.048,0.325
Celebration of the Twisted,LIK,7knHTs6yKuh51o2t2wyYWL,Metal,0,0.184,236500,0.992,0.3,0,0.055,-4.696,1,0.14,150.037,0.126
No Masters,Bad Wolves,59X92CQE0hfvAYG0dwUXdo,Metal,0,0.495,233095,0.949,0.002,5,0.328,-4.797,0,0.054,95.959,0.501
All Light Swallowed,Fragments Of Unbecoming,3TdSHpP4nLe3YTvqud4fnt,Metal,0,0.438,265787,0.972,0.007,1,0.076,-4.408,1,0.127,120.048,0.112
Take You with Me,Tremonti,67svM7lM1q4KOKL2B96oeM,Metal,0,0.333,259538,0.965,0,4,0.259,-3.955,1,0.206,180.099,0.424
Invidious,Ingested,0FFI8kPrtI1bWTLyOsLxzi,Metal,0,0.301,258246,0.981,0,9,0.063,-4.121,1,0.175,134.922,0.129
Black Flame - Single Edit,Bury Tomorrow,6REc2Tq4G2RW5zKXtusTLF,Metal,0,0.376,233964,0.982,0,5,0.16,-3.779,0,0.063,148.926,0.15
Till sörjerskorna,Grá,6thwH4yVycrUyzaBWEWqRj,Metal,0,0.313,248000,0.931,0.008,3,0.149,-9.296,0,0.052,172.975,0.08
Burnin',Black Stone Cherry,6tdsMsJFhPLnithLHopS9w,Metal,0,0.56,208747,0.917,0.006,6,0.111,-3.014,1,0.04,115.942,0.692
Father's Son,LIMBS,30e77p13tVKfY1mVV2bQbs,Metal,0.002,0.44,225442,0.964,0,8,0.101,-4.185,1,0.146,119.926,0.147
Broken,From Ashes to New,5Cl9GDb0AyQnppRr6q7ldb,Metal,0.001,0.526,200311,0.903,0,2,0.111,-4.59,0,0.044,144.017,0.45
Sacrifice Me,"Issa, Deen Castronovo",3jB905z3Niu90ooF1bu3IN,Metal,0,0.238,245982,0.741,0,4,0.096,-6.798,0,0.04,187.767,0.415
Moaner,TRC,4zobz1X0Sv4NVgsbZy6jpu,Metal,0,0.504,189714,0.922,0,1,0.344,-3.482,1,0.14,169.963,0.327
Addict,Heruin,44GqJ6L6QTZYJHIHeqWzCn,Metal,0,0.426,216917,0.962,0,9,0.379,-3.452,1,0.08,74.997,0.579
Sikiö,Turmion Kätilöt,0JoXth1ZKFcO7HkKCqsw1i,Metal,0.003,0.476,235933,0.994,0,9,0.743,-5.589,1,0.064,82.524,0.619
Farewell,Angelus Apatrida,4YFJUov19mCjCkyHRNl4vD,Metal,0,0.544,384627,0.942,0.028,1,0.101,-3.517,1,0.045,119.997,0.422
Surrogate,The Raven Age,1NuxmVm3NykaYADimgML7v,Metal,0,0.513,261000,0.883,0.001,3,0.326,-4.093,0,0.046,119.975,0.253
Hate Me,Beneath The Silence,7HlkctL4RBmW3EAtP9wkye,Metal,0,0.44,289753,0.958,0,8,0.392,-4.907,1,0.147,148.024,0.324
Wrong Direction,Amorphis,2BYxHRTEpSJyhwzluZLqpA,Metal,0.004,0.484,309132,0.976,0.025,9,0.183,-4.604,0,0.075,130.082,0.254
Let Me Love You,Kobra And The Lotus,7zIgtuQhXpWim5nAXDZcgi,Metal,0,0.424,271600,0.981,0.01,5,0.09,-4.23,1,0.054,153.042,0.592
